"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"CREATED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"IR-UL";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OPERATING_TEMP";"PACKAGE";"PART-NUMBER";"PART_STATUS";"PINS";"PITCH";"POPULARITY";"PROD_ID";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VOLTAGE_RATING";"WIRE";"WORKING-VOLTAGE-UL";"WS2811";
"1";"";"DEVBOARD_ESP8266_NODEMCU_V3DEVBOARD";"DEVBOARD_ESP8266_NODEMCU_V3";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";" 691103110003 ";"CONN-WR-TBL-2POS";"WR-TB_3.50-3.81_2POS";"POWER";"WR-TBL Serie 1031 - 3.50-3.81 mm Term Block";"";"";"https://www.we-online.com/catalog/datasheet/691103110003.pdf";"";"";"";"10A";"";"";"";"THT";"";"";"";"";"";" 691103110003 ";"";" 3 ";"3.5mm";"";"";"";"";"";"";"Horizontal";" 691103110003 ";"";"26 to 16 (AWG) 0.129 to 1.31 (mm²)";"125V(AC)";"";
"2";" 691103110003 ";"CONN-WR-TBL-3POS";"WR-TB_3.50-3.81_3POS";"5V_LED, 12V_LED";"WR-TBL Serie 1031 - 3.50-3.81 mm Term Block";"";"";"https://www.we-online.com/catalog/datasheet/691103110003.pdf";"";"";"";"10A";"";"";"";"THT";"";"";"";"";"";" 691103110003 ";"";" 3 ";"3.5mm";"";"";"";"";"";"";"Horizontal";" 691103110003 ";"";"26 to 16 (AWG) 0.129 to 1.31 (mm²)";"125V(AC)";"";
"2";".1uF";"C-USC0805";"C0805";"C6, C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.5K";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1000uF";"C-POL-US_ECAP-10.5MM";"CAPAE1030X1050N";"C5";"Capacitor Polarised - ANSI";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C1";"302010138";"";"";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R9BB104";"";"";"";"";"";"";"";"";"";"";"";"";"";"100nf";"";"";"";"";
"1";"220 uF";"C-POL-US_ECAP-10.5MM";"CAPAE1030X1050N";"C7";"Capacitor Polarised - ANSI";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.3nF";"C-USC0805";"C0805";"C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"510 R";"R-US_R0805";"R0805";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"68 OHM";"SMD-RES-68R-1%-1/10W(0603)";"R0603";"R1, R5";"301012094";"";"";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-071K5L";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.5K";"";"";"";"";
"1";"68µH/3.3A";"INDUCTOR-SDR13-27UH";"INDUCTOR_SDR1307";"L1";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-12529";"";"";"";"";"";"27µH/±20%/3.3A";"";"";"";"";
"1";"74AHCT2G125DP,125";"74AHCT2G125DP,125";"SOP65P400X110-8N";"IC1";"74AHC(T)2G125 - Dual buffer/line driver; 3-state@en-us";"";"";"";"74AHC(T)2G125 - Dual buffer/line driver";" 3-state@en-us";"";"1.1mm";"";"";"Nexperia";"74AHCT2G125DP,125";"";"771-AHCT2G125DP125";"https://www.mouser.co.uk/ProductDetail/Nexperia/74AHCT2G125DP125?qs=P62ublwmbi%2FS7fXZumeLoQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-XH-03-PIN-VERT-ROUND-PAD";"JST-XH-03-PIN-VERT-ROUND-PAD";"JST-XH-03-VERT-ROUND-PAD";"MOTION";"JST XH Connector 3 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-XH-06-PIN-VERT-ROUND-PAD";"JST-XH-06-PIN-VERT-ROUND-PAD";"JST-XH-06-VERT-ROUND-PAD";"ADD-ON";"JST XH Connector 6 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM2596";"LM2596S";"TO263-5";"IC2";"STEP-DOWN VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOUNT-PAD";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H3";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";"";
"3";"MOUNT-PAD-ROUND3.2";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H1, H2, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";"";
"1";"SS12";"SS12";"SMA";"D6";"DIODE SCHOTTKY 20V 1A SMA";"";"PCBLayout.com";"";"";"SS12FSCT-ND";"";"";"ON Semiconductor";"";"";"";"";"";"SS12";"";"SMA (DO-214AC)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
